gx,gy,gz,acx,acy,acz,time
-0.31,2.01,0.24,0.67,-0.7,0.22,2022-03-28 9:23:47
1.22,-3.36,-0.06,0.65,-0.71,0.21,2022-03-28 9:23:47
0.61,-0.92,-0.24,0.64,-0.72,0.23,2022-03-28 9:23:47
-1.28,0.49,-0.31,0.65,-0.71,0.22,2022-03-28 9:23:47
-1.34,2.2,0.12,0.65,-0.7,0.22,2022-03-28 9:23:48
0.61,-0.06,-0.31,0.65,-0.7,0.22,2022-03-28 9:23:48
0.61,0.31,0.55,0.65,-0.71,0.22,2022-03-28 9:23:48
0.43,0.92,0.61,0.65,-0.71,0.22,2022-03-28 9:23:48
-0.55,0.79,1.28,0.65,-0.71,0.22,2022-03-28 9:23:48
-1.46,0.73,1.04,0.65,-0.71,0.23,2022-03-28 9:23:48
-1.28,0,1.1,0.65,-0.7,0.22,2022-03-28 9:23:48
-1.22,1.53,1.22,0.67,-0.7,0.22,2022-03-28 9:23:48
-2.5,-0.61,0.73,0.66,-0.7,0.24,2022-03-28 9:23:48
-1.59,-1.83,-2.32,0.67,-0.68,0.23,2022-03-28 9:23:49
-1.83,0.18,-3.23,0.7,-0.68,0.23,2022-03-28 9:23:49
-4.09,-6.1,-4.27,0.68,-0.67,0.26,2022-03-28 9:23:49
-2.08,-8.12,-2.2,0.65,-0.67,0.26,2022-03-28 9:23:49
-5.19,-8.54,0.79,0.63,-0.74,0.28,2022-03-28 9:23:49
-12.76,-16.17,-5.98,0.54,-0.72,0.43,2022-03-28 9:23:49
-8.06,33.45,-7.39,0.66,-0.58,0.43,2022-03-28 9:23:49
-1.34,0.49,-8.85,0.61,-0.49,0.4,2022-03-28 9:23:49
23.44,12.21,-5.92,0.61,-0.6,0.42,2022-03-28 9:23:50
31.56,24.6,3.11,0.8,-0.87,0.19,2022-03-28 9:23:50
-14.53,1.65,5.55,0.68,-0.71,0.13,2022-03-28 9:23:50
-4.88,-60.85,18.92,0.57,-0.77,0.04,2022-03-28 9:23:50
2.93,-8.85,-10.99,0.72,-0.63,0.29,2022-03-28 9:23:50
-29.97,-45.04,2.5,0.72,-0.66,0.29,2022-03-28 9:23:50
-12.51,16.72,3.54,0.68,-0.87,0.51,2022-03-28 9:23:50
-32.53,9.34,-5.31,0.54,-0.62,0.4,2022-03-28 9:23:50
-6.9,-35.03,11.29,0.39,-0.7,0.19,2022-03-28 9:23:51
16.17,83.31,-20.32,0.6,-0.53,0.4,2022-03-28 9:23:51
-12.39,34.67,8.97,0.81,-0.39,0.39,2022-03-28 9:23:51
50.17,5.68,13.06,0.9,-0.94,0.17,2022-03-28 9:23:51
18.49,18.31,-7.75,0.71,-0.83,0.32,2022-03-28 9:23:51
-5.98,-98.39,-1.4,0.51,-0.67,0.1,2022-03-28 9:23:51
14.16,-34.18,-8.06,0.54,-0.59,0.12,2022-03-28 9:23:51
-9.34,1.53,2.5,0.68,-0.87,0.42,2022-03-28 9:23:51
-51.94,42.05,7.14,0.79,-0.91,0.47,2022-03-28 9:23:51
-18.01,-87.83,-3.05,0.4,-0.54,0.14,2022-03-28 9:23:52
22.89,45.35,-3.78,0.3,-0.67,0.37,2022-03-28 9:23:52
6.84,62.93,-9.52,0.75,-0.51,0.47,2022-03-28 9:23:52
14.28,2.5,23.5,0.79,-0.68,0.29,2022-03-28 9:23:52
