gx,gy,gz,acx,acy,acz,time
2.69,0.37,-0.49,-0.26,0.9,0.27,2022-03-28 9:44:12
1.71,0.12,-0.67,-0.25,0.9,0.28,2022-03-28 9:44:12
1.71,0.06,0.98,-0.25,0.9,0.29,2022-03-28 9:44:12
2.44,0.49,0.73,-0.25,0.89,0.29,2022-03-28 9:44:12
2.87,0.12,0.85,-0.25,0.89,0.28,2022-03-28 9:44:12
2.38,0.43,0.49,-0.24,0.89,0.28,2022-03-28 9:44:12
2.2,0.61,-0.31,-0.24,0.89,0.29,2022-03-28 9:44:13
2.69,0.12,0.31,-0.25,0.89,0.29,2022-03-28 9:44:13
3.23,-0.43,1.53,-0.25,0.89,0.28,2022-03-28 9:44:13
3.42,-1.1,2.5,-0.25,0.9,0.29,2022-03-28 9:44:13
5.43,-2.5,4.21,-0.24,0.89,0.29,2022-03-28 9:44:13
7.63,-5.68,5.49,-0.26,0.88,0.29,2022-03-28 9:44:13
11.05,-9.16,4.82,-0.28,0.87,0.33,2022-03-28 9:44:13
12.45,-6.47,-2.93,-0.33,0.85,0.35,2022-03-28 9:44:14
13.67,-14.28,9.28,-0.35,0.85,0.33,2022-03-28 9:44:14
8.54,-13,4.76,-0.34,0.83,0.33,2022-03-28 9:44:14
6.04,-18.62,4.27,-0.39,0.8,0.31,2022-03-28 9:44:14
3.85,-21.73,9.09,-0.41,0.85,0.34,2022-03-28 9:44:14
6.1,-20.08,2.2,-0.41,0.86,0.32,2022-03-28 9:44:14
0.92,-10.13,-15.56,-0.69,0.83,0.58,2022-03-28 9:44:14
17.76,-78.98,103.03,0.06,0.46,-0.31,2022-03-28 9:44:15
-77.76,124.63,-82.21,-0.66,1.25,0.64,2022-03-28 9:44:15
14.4,-4.09,-11.17,-0.58,0.99,0.14,2022-03-28 9:44:15
-2.87,16.17,-6.71,-0.45,0.78,0.17,2022-03-28 9:44:15
-9.09,32.96,-25.09,-0.51,0.77,0.28,2022-03-28 9:44:15
-0.06,12.39,-11.47,-0.53,0.8,0.24,2022-03-28 9:44:15
-5.8,17.21,-4.64,-0.37,1.06,0.2,2022-03-28 9:44:15
7.93,-7.51,-7.75,-0.04,1,0.17,2022-03-28 9:44:16
13.18,-22.46,-25.33,-0.19,0.74,0.16,2022-03-28 9:44:16
-7.69,24.48,-15.08,-0.28,0.88,0.27,2022-03-28 9:44:16
-5.07,13.92,21.18,-0.28,0.87,0.32,2022-03-28 9:44:16
13.61,32.53,29.05,-0.18,0.86,0.19,2022-03-28 9:44:16
11.54,16.85,32.47,-0.2,0.94,0.15,2022-03-28 9:44:16
7.51,-5,-0.49,-0.22,0.81,0.16,2022-03-28 9:44:17
-4.15,-3.66,-16.97,-0.26,0.88,0.2,2022-03-28 9:44:17
-4.7,-0.49,-6.35,-0.3,0.93,0.27,2022-03-28 9:44:17
5.74,-8.48,2.87,-0.29,0.9,0.31,2022-03-28 9:44:17
12.63,-8.97,3.97,-0.29,0.89,0.29,2022-03-28 9:44:17
9.03,-0.55,-1.53,-0.31,0.87,0.31,2022-03-28 9:44:17
9.95,-3.05,1.34,-0.31,0.86,0.31,2022-03-28 9:44:17
12.08,-12.94,4.09,-0.32,0.85,0.3,2022-03-28 9:44:18
8.48,-13.31,2.5,-0.34,0.84,0.31,2022-03-28 9:44:18
5.8,-8,-0.92,-0.36,0.84,0.34,2022-03-28 9:44:18
5.86,-7.63,3.48,-0.39,0.84,0.33,2022-03-28 9:44:18
4.15,-4.76,4.39,-0.39,0.84,0.32,2022-03-28 9:44:18
4.82,-7.81,9.83,-0.39,0.8,0.3,2022-03-28 9:44:18
1.46,-10.19,4.27,-0.39,0.86,0.32,2022-03-28 9:44:18
1.53,-4.21,-16.66,-0.48,0.96,0.37,2022-03-28 9:44:19
2.26,1.77,5.68,-0.29,0.6,0.23,2022-03-28 9:44:19
-4.88,38.15,32.23,-0.46,0.72,0.35,2022-03-28 9:44:19
18.25,-44.01,63.96,-0.27,0.83,0.02,2022-03-28 9:44:19
-42.54,43.64,28.56,-0.94,0.5,0.29,2022-03-28 9:44:19
-36.25,10.99,15.93,-0.71,0.64,0.17,2022-03-28 9:44:19
-36.19,42.42,-33.14,-0.61,0.79,0.34,2022-03-28 9:44:20
9.22,24.48,-43.21,-0.43,0.93,0.38,2022-03-28 9:44:20
29.05,-36.25,-30.76,-0.21,0.91,0.14,2022-03-28 9:44:20
22.34,-51.82,-40.77,-0.11,0.84,0.07,2022-03-28 9:44:20
-12.45,42.48,-31.25,-0.26,0.77,0.36,2022-03-28 9:44:20
0.18,-16.48,13.49,-0.34,0.84,0.39,2022-03-28 9:44:20
15.32,5.43,28.26,-0.3,0.96,0.24,2022-03-28 9:44:20
6.65,27.16,31.62,-0.23,0.89,0.13,2022-03-28 9:44:21
1.65,0.06,11.54,-0.22,0.86,0.13,2022-03-28 9:44:21
-2.2,5.43,-23.68,-0.29,1.02,0.18,2022-03-28 9:44:21
-16.36,28.02,-0.12,-0.29,0.82,0.26,2022-03-28 9:44:21
2.32,-1.83,-3.54,-0.26,0.91,0.29,2022-03-28 9:44:21
8.42,0.49,6.59,-0.27,0.91,0.26,2022-03-28 9:44:21
7.63,-2.2,11.11,-0.26,0.9,0.23,2022-03-28 9:44:22
4.64,-0.49,4.15,-0.26,0.91,0.26,2022-03-28 9:44:22
6.41,-1.89,-3.11,-0.28,0.88,0.27,2022-03-28 9:44:22
8.67,-3.72,-2.08,-0.29,0.88,0.3,2022-03-28 9:44:22
9.83,-10.19,2.26,-0.3,0.87,0.31,2022-03-28 9:44:22
14.04,-15.14,5.37,-0.31,0.88,0.32,2022-03-28 9:44:22
13.43,-11.17,4.82,-0.34,0.83,0.32,2022-03-28 9:44:22
7.57,-6.53,-1.1,-0.38,0.82,0.33,2022-03-28 9:44:23
5.31,-11.54,5.43,-0.41,0.83,0.33,2022-03-28 9:44:23
4.82,-10.13,8.42,-0.43,0.84,0.33,2022-03-28 9:44:23
3.97,-5.31,12.63,-0.42,0.81,0.32,2022-03-28 9:44:23
5.68,-4.94,12.27,-0.43,0.82,0.36,2022-03-28 9:44:23
6.77,9.22,-7.51,-0.51,0.88,0.49,2022-03-28 9:44:23
14.77,-24.96,37.66,-0.4,0.66,0.2,2022-03-28 9:44:23
-22.22,-7.39,38.15,-0.48,0.64,0.49,2022-03-28 9:44:24
-40.1,27.22,11.17,-1.21,0.65,0.5,2022-03-28 9:44:24
-8.06,11.96,36.74,-0.96,0.54,0.27,2022-03-28 9:44:24
-25.63,-36.13,27.4,-0.87,0.52,0.14,2022-03-28 9:44:24
-8.97,-4.7,3.23,-0.78,0.59,0.38,2022-03-28 9:44:24
